ID;Name;Designator;Footprint;Quantity;Manufacturer Part;Manufacturer;Supplier;Supplier Part;Price
1;4.7uF;C1,C7,C8;C0805;3;CL21A475KBQNNNE;SAMSUNG(三星);LCSC;C98192;0.023
2;100nF;C2,C3,C4,C5,C6;C0603;5;CL10B104KB8NNNC;SAMSUNG(三星);LCSC;C1591;0.003
3;SiPM;D1,D2,D3,D4;MICROFC−60035−SMT;4;MICROFC-60035-SMT-TR1;ON Semiconductor;Mouser;863-MFC60035SMTTR1;
4;MMBT5088LT1G;Q1,Q2;SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR;2;MMBT5088LT1G;onsemi(安森美);LCSC;C232555;0.05
5;24kΩ;R1;R0603;1;AR03BTCX2402;Viking(光颉);LCSC;C319717;0.031
6;49.9Ω;R2,R3,R4,R5;R0603;4;0603WAF499JT5E;UNI-ROYAL(厚声);LCSC;C23185;0.001
7;49.9kΩ;R6,R7;R0603;2;RT0603BRD0749K9L;YAGEO(国巨);LCSC;C705780;0.027
8;10KΩ;R8;R0603;1;NTCS0603E3103FLT;VISHAY(威世);LCSC;C142556;0.539
9;TPS7B6950DBVR;U1;SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL;1;TPS7B6950DBVR;TI(德州仪器);LCSC;C174327;0.369
