Designator;Footprint;Mid X;Mid Y;Ref X;Ref Y;Pad X;Pad Y;Layer;Rotation;Comment
A1;WIRE-PAD_ROUND-.1;18.25mm;-4mm;18.25mm;-4mm;18.25mm;-4mm;B;270;OUT
A2;WIRE-PAD_ROUND-.1;18.25mm;-10mm;18.25mm;-10mm;18.25mm;-10mm;B;270;OUT
A3;WIRE-PAD_ROUND-.1;18.25mm;-16mm;18.25mm;-16mm;18.25mm;-16mm;B;270;OUT
A4;WIRE-PAD_ROUND-.1;13.25mm;-18.25mm;13.25mm;-18.25mm;13.25mm;-18.25mm;B;270;OUT
C;WIRE-PAD_ROUND-.1;13.25mm;-1.75mm;13.25mm;-1.75mm;13.25mm;-1.75mm;B;180;C
C1;C0805;9.25mm;-3.75mm;9.25mm;-3.75mm;9.25mm;-2.75mm;B;270;4.7uF
C2;C0603;7.5mm;-3.75mm;7.5mm;-3.75mm;7.5mm;-3.05mm;B;270;100nF
C3;C0603;13.75mm;-4mm;13.75mm;-4mm;14.45mm;-4mm;B;180;100nF
C4;C0603;13.75mm;-7.25mm;13.75mm;-7.25mm;14.45mm;-7.25mm;B;180;100nF
C5;C0603;13.75mm;-10.5mm;13.75mm;-10.5mm;14.45mm;-10.5mm;B;180;100nF
C6;C0603;13.75mm;-13.75mm;13.75mm;-13.75mm;14.45mm;-13.75mm;B;180;100nF
C7;C0805;1.75mm;-11mm;1.75mm;-11mm;1.75mm;-10mm;B;270;4.7uF
C8;C0805;3.5mm;-8mm;3.5mm;-8mm;2.5mm;-8mm;B;0;4.7uF
D1;MICROFC−60035−SMT;5.75mm;-5.75mm;5.75mm;-5.75mm;2.65mm;-8.85mm;T;0;SiPM
D2;MICROFC−60035−SMT;14.25mm;-5.75mm;14.25mm;-5.75mm;17.35mm;-2.65mm;T;180;SiPM
D3;MICROFC−60035−SMT;14.25mm;-14.25mm;14.25mm;-14.25mm;11.15mm;-17.35mm;T;0;SiPM
D4;MICROFC−60035−SMT;5.75mm;-14.25mm;5.75mm;-14.25mm;2.65mm;-17.35mm;T;0;SiPM
GND;WIRE-PAD_ROUND-.1;1.75mm;-16mm;1.75mm;-16mm;1.75mm;-16mm;B;180;VCC
Q1;SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR;5mm;-3.75mm;5mm;-3.75mm;6mm;-2.8mm;B;0;MMBT5088LT1G
Q2;SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR;6.75mm;-15mm;6.75mm;-15mm;5.8mm;-14mm;B;90;MMBT5088LT1G
R1;R0603;5.25mm;-6.25mm;5.25mm;-6.25mm;4.5mm;-6.25mm;B;0;24kΩ
R2;R0603;12.25mm;-5.5mm;12.25mm;-5.5mm;11.5mm;-5.5mm;B;0;49.9Ω
R3;R0603;12.25mm;-8.75mm;12.25mm;-8.75mm;11.5mm;-8.75mm;B;0;49.9Ω
R4;R0603;12.25mm;-12mm;12.25mm;-12mm;11.5mm;-12mm;B;0;49.9Ω
R5;R0603;12.25mm;-15.25mm;12.25mm;-15.25mm;11.5mm;-15.25mm;B;0;49.9Ω
R6;R0603;9.25mm;-14.75mm;9.25mm;-14.75mm;9.25mm;-15.5mm;B;90;49.9kΩ
R7;R0603;7.25mm;-11mm;7.25mm;-11mm;7.25mm;-11.75mm;B;90;49.9kΩ
R8;R0603;7.25mm;-8mm;7.25mm;-8mm;6.5mm;-8mm;B;0;10KΩ
U1;SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL;4.75mm;-11mm;4.75mm;-11mm;3.8mm;-9.85mm;B;0;TPS7B6950DBVR
VCC;WIRE-PAD_ROUND-.1;1.75mm;-4mm;1.75mm;-4mm;1.75mm;-4mm;B;180;VCC
